Cryo-CDL00:TBx01-TT7541:TempR
Cryo-CDL00:TBx01-TT7542:TempR
Cryo-CDL00:TBx01-TT7543:TempR
Cryo-CDL00:TBx01-TT7544:TempR
Cryo-CDL00:TBx01-TT7581:TempR
Cryo-CDL00:TBx01-TT7582:TempR
Cryo-CDL00:TBx01-TT7583:TempR
Cryo-CDL00:TBx01-TT7241:TempR
Cryo-CDL00:TBx01-TT7242:TempR
Cryo-CDL00:TBx01-TT7341:TempR
Cryo-CDL00:TBx01-TT7342:TempR
Cryo-CDL00:TBx01-TT7441:TempR
Cryo-CDL00:TBx01-TT7442:TempR
Cryo-CDL00:TBx01-TT7501:TempR
Cryo-CDL00:TBx01-TT7502:TempR
Cryo-CDL00:TBx01-TT7503:TempR
Cryo-CDL00:TBx01-TT7504:TempR
Cryo-CDL00:TBx01-TT7401:TempR
Cryo-CDL00:TBx01-TT7402:TempR
Cryo-CDL00:TBx01-TT7301:TempR
Cryo-CDL00:TBx01-TT7302:TempR
Cryo-CDL00:TBx01-TT7303:TempR
Cryo-CDL00:TBx01-TT7343:TempR
Cryo-CDL00:TBx01-TT7201:TempR
Cryo-CDL00:TBx01-TT7202:TempR
Cryo-CDL00:TBx01-TT7381:TempR
