Current[A]     Field_Gradient[T/m]
0.0                 -0.51551    
0.03                -0.51144    
0.061               -0.50738    
0.091               -0.50331    
0.121               -0.49925    
0.151               -0.49518    
0.182               -0.49112    
0.212               -0.48705    
0.242               -0.48299    
0.273               -0.47893    
0.303               -0.47486    
0.333               -0.4708     
0.364               -0.46673    
0.394               -0.46267    
0.424               -0.4586     
0.455               -0.45454    
0.485               -0.45047    
0.515               -0.44641    
0.545               -0.44234    
0.576               -0.43828    
0.606               -0.43422    
0.636               -0.43015    
0.667               -0.42609    
0.697               -0.42202    
0.727               -0.41796    
0.758               -0.41389    
0.788               -0.40983    
0.818               -0.40576    
0.848               -0.4017     
0.879               -0.39764    
0.909               -0.39357    
0.939               -0.38951    
0.97                -0.38544    
1.0                 -0.38138    
1.03                -0.37731    
1.06                -0.37325    
1.091               -0.36918    
1.121               -0.36512    
1.151               -0.36106    
1.182               -0.35699    
1.212               -0.35293    
1.242               -0.34886    
1.273               -0.3448     
1.303               -0.34073    
1.333               -0.33667    
1.363               -0.3326     
1.394               -0.32854    
1.424               -0.32447    
1.454               -0.32041    
1.485               -0.31635    
1.515               -0.31228    
1.545               -0.30822    
1.576               -0.30415    
1.606               -0.30009    
1.636               -0.29602    
1.667               -0.29196    
1.697               -0.28789    
1.727               -0.28383    
1.757               -0.27977    
1.788               -0.2757     
1.818               -0.27164    
1.848               -0.26757    
1.879               -0.26351    
1.909               -0.25944    
1.939               -0.25538    
1.97                -0.25131    
2.0                 -0.24725    
2.03                -0.24318    
2.06                -0.23912    
2.091               -0.23506    
2.121               -0.23099    
2.151               -0.22693    
2.182               -0.22286    
2.212               -0.2188     
2.242               -0.21473    
2.272               -0.21067    
2.303               -0.2066     
2.333               -0.20254    
2.363               -0.19848    
2.394               -0.19441    
2.424               -0.19035    
2.454               -0.18628    
2.485               -0.18222    
2.515               -0.17815    
2.545               -0.17409    
2.575               -0.17002    
2.606               -0.16596    
2.636               -0.16189    
2.666               -0.15783    
2.697               -0.15377    
2.727               -0.1497     
2.757               -0.14564    
2.788               -0.14157    
2.818               -0.13751    
2.848               -0.13344    
2.878               -0.12938    
2.909               -0.12531    
2.939               -0.12125    
2.969               -0.11719    
3.0                 -0.11312    
3.03                -0.10906    
3.06                -0.10499    
3.091               -0.10093    
3.121               -0.09686    
3.151               -0.0928     
3.182               -0.08873    
3.212               -0.08467    
3.242               -0.0806     
3.272               -0.07654    
3.303               -0.07248    
3.333               -0.06841    
3.363               -0.06435    
3.394               -0.06028    
3.424               -0.05622    
3.454               -0.05215    
3.485               -0.04809    
3.515               -0.04402    
3.545               -0.03996    
3.575               -0.0359     
3.606               -0.03183    
3.636               -0.02777    
3.666               -0.0237     
3.697               -0.01964    
3.727               -0.01557    
3.757               -0.01151    
3.788               -0.00744    
3.818               -0.00338    
3.848               0.00069     
3.878               0.00475     
3.909               0.00881     
3.939               0.01288     
3.969               0.01694     
4.0                 0.02101     
4.03                0.02507     
4.06                0.02914     
4.091               0.0332      
4.121               0.03727     
4.151               0.04133     
4.181               0.04539     
4.212               0.04946     
4.242               0.05352     
4.272               0.05759     
4.303               0.06165     
4.333               0.06572     
4.363               0.06978     
4.394               0.07385     
4.424               0.07791     
4.454               0.08197     
4.484               0.08604     
4.515               0.0901      
4.545               0.09417     
4.575               0.09823     
4.606               0.1023      
4.636               0.10636     
4.666               0.11043     
4.697               0.11449     
4.727               0.11856     
4.757               0.12262     
4.787               0.12668     
4.818               0.13075     
4.848               0.13481     
4.878               0.13888     
4.909               0.14294     
4.939               0.14701     
4.969               0.15107     
5.0                 0.15514     
5.03                0.1592      
5.06                0.16326     
5.09                0.16733     
5.121               0.17139     
5.151               0.17546     
5.181               0.17952     
5.212               0.18359     
5.242               0.18765     
5.272               0.19172     
5.303               0.19578     
5.333               0.19985     
5.363               0.20391     
5.393               0.20797     
5.424               0.21204     
5.454               0.2161      
5.484               0.22017     
5.515               0.22423     
5.545               0.2283      
5.575               0.23236     
5.606               0.23643     
5.636               0.24049     
5.666               0.24455     
5.696               0.24862     
5.727               0.25268     
5.757               0.25675     
5.787               0.26081     
5.818               0.26488     
5.848               0.26894     
5.878               0.27301     
5.909               0.27707     
5.939               0.28114     
5.969               0.2852      
5.999               0.28926     
6.03                0.29333     
6.06                0.29739     
6.09                0.30146     
6.121               0.30552     
6.151               0.30959     
6.181               0.31365     
6.212               0.31772     
6.242               0.32178     
6.272               0.32584     
6.302               0.32991     
6.333               0.33397     
6.363               0.33804     
6.393               0.3421      
6.424               0.34617     
6.454               0.35023     
6.484               0.3543      
6.514               0.35836     
6.545               0.36243     
6.575               0.36649     
6.605               0.37055     
6.636               0.37462     
6.666               0.37868     
6.696               0.38275     
6.727               0.38681     
6.757               0.39088     
6.787               0.39494     
6.817               0.39901     
6.848               0.40307     
6.878               0.40713     
6.908               0.4112      
6.939               0.41526     
6.969               0.41933     
6.999               0.42339     
7.03                0.42746     
7.06                0.43152     
7.09                0.43559     
7.12                0.43965     
7.151               0.44372     
7.181               0.44778     
7.211               0.45184     
7.242               0.45591     
7.272               0.45997     
7.302               0.46404     
7.333               0.4681      
7.363               0.47217     
7.393               0.47623     
7.423               0.4803      
7.454               0.48436     
7.484               0.48842     
7.514               0.49249     
7.545               0.49655     
7.575               0.50062     
7.605               0.50468     
7.636               0.50875     
7.666               0.51281     
7.696               0.51688     
7.726               0.52094     
7.757               0.525       
7.787               0.52907     
7.817               0.53313     
7.848               0.5372      
7.878               0.54126     
7.908               0.54533     
7.939               0.54939     
7.969               0.55346     
7.999               0.55752     
8.03                0.56159     
8.06                0.56565     
8.09                0.56971     
8.12                0.57378     
8.151               0.57784     
8.181               0.58191     
8.211               0.58597     
8.242               0.59004     
8.272               0.5941      
8.302               0.59817     
8.332               0.60223     
8.363               0.60629     
8.393               0.61036     
8.423               0.61442     
8.454               0.61849     
8.484               0.62255     
8.514               0.62662     
8.545               0.63068     
8.575               0.63475     
8.605               0.63881     
8.636               0.64288     
8.666               0.64694     
8.696               0.651       
8.726               0.65507     
8.757               0.65913     
8.787               0.6632      
8.817               0.66726     
8.848               0.67133     
8.878               0.67539     
8.908               0.67946     
8.938               0.68352     
8.969               0.68758     
8.999               0.69165     
9.029               0.69571     
9.06                0.69978     
9.09                0.70384     
9.12                0.70791     
9.151               0.71197     
9.181               0.71604     
9.211               0.7201      
9.242               0.72417     
9.272               0.72823     
9.302               0.73229     
9.332               0.73636     
9.363               0.74042     
9.393               0.74449     
9.423               0.74855     
9.454               0.75262     
9.484               0.75668     
9.514               0.76075     
9.544               0.76481     
9.575               0.76887     
9.605               0.77294     
9.635               0.777       
9.666               0.78107     
9.696               0.78513     
9.726               0.7892      
9.757               0.79326     
9.787               0.79733     
9.817               0.80139     
9.848               0.80546     
9.878               0.80952     
9.908               0.81358     
9.938               0.81765     
9.969               0.82171     
9.999               0.82578     
10.029              0.82984     
10.06               0.83391     
10.09               0.83797     
10.12               0.84204     
10.151              0.8461      
10.181              0.85016     
10.211              0.85423     
10.241              0.85829     
10.272              0.86236     
10.302              0.86642     
10.332              0.87049     
10.363              0.87455     
10.393              0.87862     
10.423              0.88268     
10.454              0.88675     
10.484              0.89081     
10.514              0.89487     
10.544              0.89894     
10.575              0.903       
10.605              0.90707     
10.635              0.91113     
10.666              0.9152      
10.696              0.91926     
10.726              0.92333     
10.757              0.92739     
10.787              0.93145     
10.817              0.93552     
10.847              0.93958     
10.878              0.94365     
10.908              0.94771     
10.938              0.95178     
10.969              0.95584     
10.999              0.95991     
11.029              0.96397     
11.059              0.96803     
11.09               0.9721      
11.12               0.97616     
11.15               0.98023     
11.181              0.98429     
11.211              0.98836     
11.241              0.99242     
11.272              0.99649     
11.302              1.00055     
11.332              1.00462     
11.363              1.00868     
11.393              1.01274     
11.423              1.01681     
11.453              1.02087     
11.484              1.02494     
11.514              1.029       
11.544              1.03307     
11.575              1.03713     
11.605              1.0412      
11.635              1.04526     
11.665              1.04932     
11.696              1.05339     
11.726              1.05745     
11.756              1.06152     
11.787              1.06558     
11.817              1.06965     
11.847              1.07371     
11.878              1.07778     
11.908              1.08184     
11.938              1.08591     
11.969              1.08997     
11.999              1.09403     
12.029              1.0981      
12.059              1.10216     
12.09               1.10623     
12.12               1.11029     
12.15               1.11436     
12.181              1.11842     
12.211              1.12249     
12.241              1.12655     
12.271              1.13061     
12.302              1.13468     
12.332              1.13874     
12.362              1.14281     
12.393              1.14687     
12.423              1.15094     
12.453              1.155       
12.484              1.15907     
12.514              1.16313     
12.544              1.1672      
12.575              1.17126     
12.605              1.17532     
12.635              1.17939     
12.665              1.18345     
12.696              1.18752     
12.726              1.19158     
12.756              1.19565     
12.787              1.19971     
12.817              1.20378     
12.847              1.20784     
12.877              1.2119      
12.908              1.21597     
12.938              1.22003     
12.968              1.2241      
12.999              1.22816     
13.029              1.23223     
13.059              1.23629     
13.09               1.24036     
13.12               1.24442     
13.15               1.24849     
13.181              1.25255     
13.211              1.25661     
13.241              1.26068     
13.271              1.26474     
13.302              1.26881     
13.332              1.27287     
13.362              1.27694     
13.393              1.281       
13.423              1.28507     
13.453              1.28913     
13.483              1.29319     
13.514              1.29726     
13.544              1.30132     
13.574              1.30539     
13.605              1.30945     
13.635              1.31352     
13.665              1.31758     
13.696              1.32165     
13.726              1.32571     
13.756              1.32978     
13.787              1.33384     
13.817              1.3379      
13.847              1.34197     
13.877              1.34603     
13.908              1.3501      
13.938              1.35416     
13.968              1.35823     
13.999              1.36229     
14.029              1.36636     
14.059              1.37042     
14.09               1.37448     
14.12               1.37855     
14.15               1.38261     
14.18               1.38668     
14.211              1.39074     
14.241              1.39481     
14.271              1.39887     
14.302              1.40294     
14.332              1.407       
14.362              1.41107     
14.393              1.41513     
14.423              1.41919     
14.453              1.42326     
14.483              1.42732     
14.514              1.43139     
14.544              1.43545     
14.574              1.43952     
14.605              1.44358     
14.635              1.44765     
14.665              1.45171     
14.696              1.45577     
14.726              1.45984     
14.756              1.4639      
14.786              1.46797     
14.817              1.47203     
14.847              1.4761      
14.877              1.48016     
14.908              1.48423     
14.938              1.48829     
14.968              1.49235     
14.998              1.49642     
15.029              1.50048     
15.059              1.50455     
15.089              1.50861     
15.12               1.51268     
15.15               1.51674     
15.18               1.52081     
15.211              1.52487     
15.241              1.52894     
15.271              1.533       
15.302              1.53706     
15.332              1.54113     
15.362              1.54519     
15.392              1.54926     
15.423              1.55332     
15.453              1.55739     
15.483              1.56145     
15.514              1.56552     
15.544              1.56958     
15.574              1.57364     
15.604              1.57771     
15.635              1.58177     
15.665              1.58584     
15.695              1.5899      
15.726              1.59397     
15.756              1.59803     
15.786              1.6021      
15.817              1.60616     
15.847              1.61023     
15.877              1.61429     
15.908              1.61835     
15.938              1.62242     
15.968              1.62648     
15.998              1.63055     
16.029              1.63461     
16.059              1.63868     
16.089              1.64274     
16.12               1.64681     
16.15               1.65087     
16.18               1.65493     
16.21               1.659       
16.241              1.66306     
16.271              1.66713     
16.301              1.67119     
16.332              1.67526     
16.362              1.67932     
16.392              1.68339     
16.423              1.68745     
16.453              1.69152     
16.483              1.69558     
16.514              1.69964     
16.544              1.70371     
16.574              1.70777     
16.604              1.71184     
16.635              1.7159      
16.665              1.71997     
16.695              1.72403     
16.726              1.7281      
16.756              1.73216     
16.786              1.73622     
16.817              1.74029     
16.847              1.74435     
16.877              1.74842     
16.907              1.75248     
16.938              1.75655     
16.968              1.76061     
16.998              1.76468     
17.029              1.76874     
17.059              1.77281     
17.089              1.77687     
17.119              1.78093     
17.15               1.785       
17.18               1.78906     
17.21               1.79313     
17.241              1.79719     
17.271              1.80126     
17.301              1.80532     
17.332              1.80939     
17.362              1.81345     
17.392              1.81751     
17.422              1.82158     
17.453              1.82564     
17.483              1.82971     
17.513              1.83377     
17.544              1.83784     
17.574              1.8419      
17.604              1.84597     
17.635              1.85003     
17.665              1.8541      
17.695              1.85816     
17.726              1.86222     
17.756              1.86629     
17.786              1.87035     
17.816              1.87442     
17.847              1.87848     
17.877              1.88255     
17.907              1.88661     
17.938              1.89068     
17.968              1.89474     
17.998              1.8988      
18.029              1.90287     
18.059              1.90693     
18.089              1.911       
18.119              1.91506     
18.15               1.91913     
18.18               1.92319     
18.21               1.92726     
18.241              1.93132     
18.271              1.93538     
18.301              1.93945     
18.332              1.94351     
18.362              1.94758     
18.392              1.95164     
18.422              1.95571     
18.453              1.95977     
18.483              1.96384     
18.513              1.9679      
18.544              1.97197     
18.574              1.97603     
18.604              1.98009     
18.634              1.98416     
18.665              1.98822     
18.695              1.99229     
18.725              1.99635     
18.756              2.00042     
18.786              2.00448     
18.816              2.00855     
18.847              2.01261     
18.877              2.01667     
18.907              2.02074     
18.938              2.0248      
18.968              2.02887     
18.998              2.03293     
19.028              2.037       
19.059              2.04106     
19.089              2.04513     
19.119              2.04919     
19.15               2.05326     
19.18               2.05732     
19.21               2.06138     
19.241              2.06545     
19.271              2.06951     
19.301              2.07358     
19.331              2.07764     
19.362              2.08171     
19.392              2.08577     
19.422              2.08984     
19.453              2.0939      
19.483              2.09796     
19.513              2.10203     
19.544              2.10609     
19.574              2.11016     
19.604              2.11422     
19.634              2.11829     
19.665              2.12235     
19.695              2.12642     
19.725              2.13048     
19.756              2.13455     
19.786              2.13861     
19.816              2.14267     
19.846              2.14674     
19.877              2.1508      
19.907              2.15487     
19.937              2.15893     
19.968              2.163       
19.998              2.16706     
20.028              2.17113     
20.059              2.17519     
20.089              2.17925     
20.119              2.18332     
20.149              2.18738     
20.18               2.19145     
20.21               2.19551     
20.24               2.19958     
20.271              2.20364     
20.301              2.20771     
20.331              2.21177     
20.362              2.21584     
20.392              2.2199      
20.422              2.22396     
20.453              2.22803     
20.483              2.23209     
20.513              2.23616     
20.543              2.24022     
20.574              2.24429     
20.604              2.24835     
20.634              2.25242     
20.665              2.25648     
20.695              2.26054     
20.725              2.26461     
20.756              2.26867     
20.786              2.27274     
20.816              2.2768      
20.846              2.28087     
20.877              2.28493     
20.907              2.289       
20.937              2.29306     
20.968              2.29713     
20.998              2.30119     
21.028              2.30525     
21.058              2.30932     
21.089              2.31338     
21.119              2.31745     
21.149              2.32151     
21.18               2.32558     
21.21               2.32964     
21.24               2.33371     
21.271              2.33777     
21.301              2.34183     
21.331              2.3459      
21.361              2.34996     
21.392              2.35403     
21.422              2.35809     
21.452              2.36216     
21.483              2.36622     
21.513              2.37029     
21.543              2.37435     
21.574              2.37841     
21.604              2.38248     
21.634              2.38654     
21.665              2.39061     
21.695              2.39467     
21.725              2.39874     
21.755              2.4028      
21.786              2.40687     
21.816              2.41093     
21.846              2.415       
21.877              2.41906     
21.907              2.42312     
21.937              2.42719     
21.968              2.43125     
21.998              2.43532     
22.028              2.43938     
22.058              2.44345     
22.089              2.44751     
22.119              2.45158     
22.149              2.45564     
22.18               2.4597      
22.21               2.46377     
22.24               2.46783     
22.271              2.4719      
22.301              2.47596     
22.331              2.48003     
22.361              2.48409     
22.392              2.48816     
22.422              2.49222     
22.452              2.49629     
22.483              2.50035     
22.513              2.50441     
22.543              2.50848     
22.573              2.51254     
22.604              2.51661     
22.634              2.52067     
22.664              2.52474     
22.695              2.5288      
22.725              2.53287     
22.755              2.53693     
22.786              2.54099     
22.816              2.54506     
22.846              2.54912     
22.877              2.55319     
22.907              2.55725     
22.937              2.56132     
22.967              2.56538     
22.998              2.56945     
23.028              2.57351     
23.058              2.57758     
23.089              2.58164     
23.119              2.5857      
23.149              2.58977     
23.18               2.59383     
23.21               2.5979      
23.24               2.60196     
23.27               2.60603     
23.301              2.61009     
23.331              2.61416     
23.361              2.61822     
23.392              2.62228     
23.422              2.62635     
23.452              2.63041     
23.483              2.63448     
23.513              2.63854     
23.543              2.64261     
23.573              2.64667     
23.604              2.65074     
23.634              2.6548      
23.664              2.65887     
23.695              2.66293     
23.725              2.66699     
23.755              2.67106     
23.785              2.67512     
23.816              2.67919     
23.846              2.68325     
23.876              2.68732     
23.907              2.69138     
23.937              2.69545     
23.967              2.69951     
23.998              2.70357     
24.028              2.70764     
24.058              2.7117      
24.088              2.71577     
24.119              2.71983     
24.149              2.7239      
24.179              2.72796     
24.21               2.73203     
24.24               2.73609     
24.27               2.74016     
24.301              2.74422     
24.331              2.74828     
24.361              2.75235     
24.392              2.75641     
24.422              2.76048     
24.452              2.76454     
24.482              2.76861     
24.513              2.77267     
24.543              2.77674     
24.573              2.7808      
24.604              2.78486     
24.634              2.78893     
24.664              2.79299     
24.695              2.79706     
24.725              2.80112     
24.755              2.80519     
24.785              2.80925     
24.816              2.81332     
24.846              2.81738     
24.876              2.82144     
24.907              2.82551     
24.937              2.82957     
24.967              2.83364     
24.997              2.8377      
25.028              2.84177     
25.058              2.84583     
25.088              2.8499      
25.119              2.85396     
25.149              2.85803     
25.179              2.86209     
25.21               2.86615     
25.24               2.87022     
25.27               2.87428     
25.3                2.87835     
25.331              2.88241     
25.361              2.88648     
25.391              2.89054     
25.422              2.89461     
25.452              2.89867     
25.482              2.90273     
25.513              2.9068      
25.543              2.91086     
25.573              2.91493     
25.604              2.91899     
25.634              2.92306     
25.664              2.92712     
25.694              2.93119     
25.725              2.93525     
25.755              2.93932     
25.785              2.94338     
25.816              2.94744     
25.846              2.95151     
25.876              2.95557     
25.907              2.95964     
25.937              2.9637      
25.967              2.96777     
25.997              2.97183     
26.028              2.9759      
26.058              2.97996     
26.088              2.98402     
26.119              2.98809     
26.149              2.99215     
26.179              2.99622     
26.21               3.00028     
26.24               3.00435     
26.27               3.00841     
26.3                3.01248     
26.331              3.01654     
26.361              3.02061     
26.391              3.02467     
26.422              3.02873     
26.452              3.0328      
26.482              3.03686     
26.512              3.04093     
26.543              3.04499     
26.573              3.04906     
26.603              3.05312     
26.634              3.05719     
26.664              3.06125     
26.694              3.06531     
26.725              3.06938     
26.755              3.07344     
26.785              3.07751     
26.816              3.08157     
26.846              3.08564     
26.876              3.0897      
26.906              3.09377     
26.937              3.09783     
26.967              3.1019      
26.997              3.10596     
27.028              3.11002     
27.058              3.11409     
27.088              3.11815     
27.119              3.12222     
27.149              3.12628     
27.179              3.13035     
27.209              3.13441     
27.24               3.13848     
27.27               3.14254     
27.3                3.1466      
27.331              3.15067     
27.361              3.15473     
27.391              3.1588      
27.422              3.16286     
27.452              3.16693     
27.482              3.17099     
27.512              3.17506     
27.543              3.17912     
27.573              3.18319     
27.603              3.18725     
27.634              3.19131     
27.664              3.19538     
27.694              3.19944     
27.724              3.20351     
27.755              3.20757     
27.785              3.21164     
27.815              3.2157      
27.846              3.21977     
27.876              3.22383     
27.906              3.22789     
27.937              3.23196     
27.967              3.23602     
27.997              3.24009     
28.027              3.24415     
28.058              3.24822     
28.088              3.25228     
28.118              3.25635     
28.149              3.26041     
28.179              3.26447     
28.209              3.26854     
28.24               3.2726      
28.27               3.27667     
28.3                3.28073     
28.331              3.2848      
28.361              3.28886     
28.391              3.29293     
28.421              3.29699     
28.452              3.30106     
28.482              3.30512     
28.512              3.30918     
28.543              3.31325     
28.573              3.31731     
28.603              3.32138     
28.634              3.32544     
28.664              3.32951     
28.694              3.33357     
28.724              3.33764     
28.755              3.3417      
28.785              3.34576     
28.815              3.34983     
28.846              3.35389     
28.876              3.35796     
28.906              3.36202     
28.936              3.36609     
28.967              3.37015     
28.997              3.37422     
29.027              3.37828     
29.058              3.38235     
29.088              3.38641     
29.118              3.39047     
29.149              3.39454     
29.179              3.3986      
29.209              3.40267     
29.239              3.40673     
29.27               3.4108      
29.3                3.41486     
29.33               3.41893     
29.361              3.42299     
29.391              3.42705     
29.421              3.43112     
29.452              3.43518     
29.482              3.43925     
29.512              3.44331     
29.543              3.44738     
29.573              3.45144     
29.603              3.45551     
29.633              3.45957     
29.664              3.46364     
29.694              3.4677      
29.724              3.47176     
29.755              3.47583     
29.785              3.47989     
29.815              3.48396     
29.846              3.48802     
29.876              3.49209     
29.906              3.49615     
29.936              3.50022     
29.967              3.50428     
29.997              3.50834     
30.027              3.51241     
30.058              3.51647     
30.088              3.52054     
30.118              3.5246      
30.149              3.52867     
30.179              3.53273     
30.209              3.5368      
30.239              3.54086     
30.27               3.54493     
30.3                3.54899     
30.33               3.55305     
30.361              3.55712     
30.391              3.56118     
30.421              3.56525     
30.451              3.56931     
30.482              3.57338     
30.512              3.57744     
30.542              3.58151     
30.573              3.58557     
30.603              3.58963     
30.633              3.5937      
30.664              3.59776     
30.694              3.60183     
30.724              3.60589     
30.755              3.60996     
30.785              3.61402     
30.815              3.61809     
30.845              3.62215     
30.876              3.62622     
30.906              3.63028     
30.936              3.63434     
30.967              3.63841     
30.997              3.64247     
31.027              3.64654     
31.058              3.6506      
31.088              3.65467     
31.118              3.65873     
31.148              3.6628      
31.179              3.66686     
31.209              3.67092     
31.239              3.67499     
31.27               3.67905     
31.3                3.68312     
31.33               3.68718     
31.361              3.69125     
31.391              3.69531     
31.421              3.69938     
31.451              3.70344     
31.482              3.7075      
31.512              3.71157     
31.542              3.71563     
31.573              3.7197      
31.603              3.72376     
31.633              3.72783     
31.663              3.73189     
31.694              3.73596     
31.724              3.74002     
31.754              3.74409     
31.785              3.74815     
31.815              3.75221     
31.845              3.75628     
31.876              3.76034     
31.906              3.76441     
31.936              3.76847     
31.966              3.77254     
31.997              3.7766      
32.027              3.78067     
32.057              3.78473     
32.088              3.78879     
32.118              3.79286     
32.148              3.79692     
32.179              3.80099     
32.209              3.80505     
32.239              3.80912     
32.27               3.81318     
32.3                3.81725     
32.33               3.82131     
32.36               3.82538     
32.391              3.82944     
32.421              3.8335      
32.451              3.83757     
32.482              3.84163     
32.512              3.8457      
32.542              3.84976     
32.572              3.85383     
32.603              3.85789     
32.633              3.86196     
32.663              3.86602     
32.694              3.87008     
32.724              3.87415     
32.754              3.87821     
32.785              3.88228     
32.815              3.88634     
32.845              3.89041     
32.876              3.89447     
32.906              3.89854     
32.936              3.9026      
32.966              3.90667     
32.997              3.91073     
33.027              3.91479     
33.057              3.91886     
33.088              3.92292     
33.118              3.92699     
33.148              3.93105     
33.178              3.93512     
33.209              3.93918     
33.239              3.94325     
33.269              3.94731     
33.3                3.95137     
33.33               3.95544     
33.36               3.9595      
33.391              3.96357     
33.421              3.96763     
33.451              3.9717      
33.482              3.97576     
33.512              3.97983     
33.542              3.98389     
33.572              3.98796     
33.603              3.99202     
33.633              3.99608     
33.663              4.00015     
33.694              4.00421     
33.724              4.00828     
33.754              4.01234     
33.785              4.01641     
33.815              4.02047     
33.845              4.02454     
33.875              4.0286      
33.906              4.03266     
33.936              4.03673     
33.966              4.04079     
33.997              4.04486     
34.027              4.04892     
34.057              4.05299     
34.087              4.05705     
34.118              4.06112     
34.148              4.06518     
34.178              4.06925     
34.209              4.07331     
34.239              4.07737     
34.269              4.08144     
34.3                4.0855      
34.33               4.08957     
34.36               4.09363     
34.391              4.0977      
34.421              4.10176     
34.451              4.10583     
34.481              4.10989     
34.512              4.11395     
34.542              4.11802     
34.572              4.12208     
34.603              4.12615     
34.633              4.13021     
34.663              4.13428     
34.694              4.13834     
34.724              4.14241     
34.754              4.14647     
34.784              4.15053     
34.815              4.1546      
34.845              4.15866     
34.875              4.16273     
34.906              4.16679     
34.936              4.17086     
34.966              4.17492     
34.996              4.17899     
35.027              4.18305     
35.057              4.18712     
35.087              4.19118     
35.118              4.19524     
35.148              4.19931     
35.178              4.20337     
35.209              4.20744     
35.239              4.2115      
35.269              4.21557     
35.3                4.21963     
35.33               4.2237      
35.36               4.22776     
35.39               4.23182     
35.421              4.23589     
35.451              4.23995     
35.481              4.24402     
35.512              4.24808     
35.542              4.25215     
35.572              4.25621     
35.602              4.26028     
35.633              4.26434     
35.663              4.26841     
35.693              4.27247     
35.724              4.27653     
35.754              4.2806      
35.784              4.28466     
35.815              4.28873     
35.845              4.29279     
35.875              4.29686     
35.906              4.30092     
35.936              4.30499     
35.966              4.30905     
35.996              4.31311     
36.027              4.31718     
36.057              4.32124     
36.087              4.32531     
36.118              4.32937     
36.148              4.33344     
36.178              4.3375      
36.209              4.34157     
36.239              4.34563     
36.269              4.3497      
36.299              4.35376     
36.33               4.35782     
36.36               4.36189     
36.39               4.36595     
36.421              4.37002     
36.451              4.37408     
36.481              4.37815     
36.511              4.38221     
36.542              4.38628     
36.572              4.39034     
36.602              4.3944      
36.633              4.39847     
36.663              4.40253     
36.693              4.4066      
36.724              4.41066     
36.754              4.41473     
36.784              4.41879     
36.815              4.42286     
36.845              4.42692     
36.875              4.43099     
36.905              4.43505     
36.936              4.43911     
36.966              4.44318     
36.996              4.44724     
37.027              4.45131     
37.057              4.45537     
37.087              4.45944     
37.117              4.4635      
37.148              4.46757     
37.178              4.47163     
37.208              4.47569     
37.239              4.47976     
37.269              4.48382     
37.299              4.48789     
37.33               4.49195     
37.36               4.49602     
37.39               4.50008     
37.421              4.50415     
37.451              4.50821     
37.481              4.51228     
37.511              4.51634     
37.542              4.5204      
37.572              4.52447     
37.602              4.52853     
37.633              4.5326      
37.663              4.53666     
37.693              4.54073     
37.724              4.54479     
37.754              4.54886     
37.784              4.55292     
37.814              4.55698     
37.845              4.56105     
37.875              4.56511     
37.905              4.56918     
37.936              4.57324     
37.966              4.57731     
37.996              4.58137     
38.026              4.58544     
38.057              4.5895      
38.087              4.59356     
38.117              4.59763     
38.148              4.60169     
38.178              4.60576     
38.208              4.60982     
38.239              4.61389     
38.269              4.61795     
38.299              4.62202     
38.33               4.62608     
38.36               4.63015     
38.39               4.63421     
38.42               4.63827     
38.451              4.64234     
38.481              4.6464      
38.511              4.65047     
38.542              4.65453     
38.572              4.6586      
38.602              4.66266     
38.633              4.66673     
38.663              4.67079     
38.693              4.67485     
38.723              4.67892     
38.754              4.68298     
38.784              4.68705     
38.814              4.69111     
38.845              4.69518     
38.875              4.69924     
38.905              4.70331     
38.935              4.70737     
38.966              4.71144     
38.996              4.7155      
39.026              4.71956     
39.057              4.72363     
39.087              4.72769     
39.117              4.73176     
39.148              4.73582     
39.178              4.73989     
39.208              4.74395     
39.239              4.74802     
39.269              4.75208     
39.299              4.75614     
39.329              4.76021     
39.36               4.76427     
39.39               4.76834     
39.42               4.7724      
39.451              4.77647     
39.481              4.78053     
39.511              4.7846      
39.541              4.78866     
39.572              4.79273     
39.602              4.79679     
39.632              4.80085     
39.663              4.80492     
39.693              4.80898     
39.723              4.81305     
39.754              4.81711     
39.784              4.82118     
39.814              4.82524     
39.845              4.82931     
39.875              4.83337     
39.905              4.83743     
39.935              4.8415      
39.966              4.84556     
39.996              4.84963     
40.026              4.85369     
40.057              4.85776     
