0,-6.89645e-18
0.000666667,0.00423466
0.00133333,0.0084662
0.002,0.0126946
0.00266667,0.0169199
0.00333333,0.0211421
0.004,0.0253612
0.00466667,0.0295771
0.00533333,0.0337899
0.006,0.0379996
0.00666667,0.0422062
0.00733333,0.0464097
0.008,0.05061
0.00866667,0.0548073
0.00933333,0.0590014
0.01,0.0631924
0.0106667,0.0673802
0.0113333,0.071565
0.012,0.0757466
0.0126667,0.0799251
0.0133333,0.0841005
0.014,0.0882728
0.0146667,0.0924419
0.0153333,0.096608
0.016,0.100771
0.0166667,0.104931
0.0173333,0.109087
0.018,0.113241
0.0186667,0.117391
0.0193333,0.121539
0.02,0.125683
0.0206667,0.129824
0.0213333,0.133962
0.022,0.138097
0.0226667,0.142228
0.0233333,0.146357
0.024,0.150483
0.0246667,0.154605
0.0253333,0.158724
0.026,0.16284
0.0266667,0.166953
0.0273333,0.171063
0.028,0.17517
0.0286667,0.179274
0.0293333,0.183374
0.03,0.187471
0.0306667,0.191566
0.0313333,0.195657
0.032,0.199745
0.0326667,0.20383
0.0333333,0.207912
0.034,0.21199
0.0346667,0.216066
0.0353333,0.220138
0.036,0.224208
0.0366667,0.228274
0.0373333,0.232337
0.038,0.236397
0.0386667,0.240454
0.0393333,0.244508
0.04,0.248558
0.0406667,0.252606
0.0413333,0.25665
0.042,0.260691
0.0426667,0.264729
0.0433333,0.268764
0.044,0.272796
0.0446667,0.276825
0.0453333,0.280851
0.046,0.284873
0.0466667,0.288893
0.0473333,0.292909
0.048,0.296922
0.0486667,0.300932
0.0493333,0.304939
0.05,0.308943
0.0506667,0.312942
0.0513333,0.316933
0.052,0.320917
0.0526667,0.324894
0.0533333,0.328864
0.054,0.332826
0.0546667,0.336781
0.0553333,0.340729
0.056,0.34467
0.0566667,0.348604
0.0573333,0.35253
0.058,0.356449
0.0586667,0.360361
0.0593333,0.364265
0.06,0.368162
0.0606667,0.372052
0.0613333,0.375935
0.062,0.379811
0.0626667,0.383679
0.0633333,0.38754
0.064,0.391394
0.0646667,0.39524
0.0653333,0.39908
0.066,0.402912
0.0666667,0.406737
0.0673333,0.410554
0.068,0.414365
0.0686667,0.418168
0.0693333,0.421964
0.07,0.425752
0.0706667,0.429534
0.0713333,0.433308
0.072,0.437075
0.0726667,0.440834
0.0733333,0.444587
0.074,0.448332
0.0746667,0.45207
0.0753333,0.455801
0.076,0.459524
0.0766667,0.46324
