Index,CV,KV
1,0,0
2,18.60,3.241868384
3,37.20,6.48745861
4,55.80,9.689809878
5,74.40,12.89887215
6,93.00,16.12705968
7,111.60,19.349251
8,130.20,22.50278895
9,148.80,25.48748063
10,167.40,28.16559746
11,186.10,30.37201326
