Index,CV,KV
1,0,0
2,0.59,0.003203091
3,1.18,0.006286182
4,1.77,0.009369273
5,2.36,0.012452364
6,2.95,0.015535455
7,3.54,0.018618545
8,4.13,0.021701636
9,4.72,0.024784727
10,5.31,0.027867818
11,5.9,0.030950909
