Index,CV,KV
1,0,0
2,19.45,3.520120888
3,38.90,7.072653919
4,58.35,10.54723193
5,77.80,14.01509259
6,97.26,17.50705698
7,116.71,21.00632478
8,136.16,24.45925105
9,155.61,27.76818652
10,175.06,30.79326562
11,194.52,33.35356572
